gene,uniprot_id,log2_apoe2_over_apoe3,qvalue,comparison
CAT,P04040,4.70533038175921,8.19747218735294e-10,APOE2 / APOE3
GAP43,P17677,4.54041298096243,1.35575635288048e-07,APOE2 / APOE3
PSMD5,Q16401,3.99471675775535,4.47498905295192e-10,APOE2 / APOE3
KRT7,P08729,-3.2382959540213,1.73257958758969e-07,APOE2 / APOE3
NDRG1,Q92597,3.10135338205034,4.52072852658144e-07,APOE2 / APOE3
MMP11,P24347,3.07507894749894,0.0360363978753775,APOE2 / APOE3
ASS1,P00966,2.99937623950211,4.07926975359894e-05,APOE2 / APOE3
TGFB2,P61812,-2.65151826369236,0.00067403196355971,APOE2 / APOE3
PDE12,Q6L8Q7,-2.6259840833189,0.0170194025093745,APOE2 / APOE3
IAH1,Q2TAA2,2.48996193520231,0.000259498766656929,APOE2 / APOE3
CCN2,P29279,-2.48851664904157,2.26419078222528e-12,APOE2 / APOE3
GPC4,O75487,-2.46805154972495,0.00318744831218858,APOE2 / APOE3
FRMD6,Q96NE9,-2.25221711593051,0.0364148463300185,APOE2 / APOE3
PLK1,P53350,-2.21959353168974,8.17319550814649e-05,APOE2 / APOE3
PNPO,Q9NVS9,-2.21837743488946,0.0131333913880581,APOE2 / APOE3
CRIM1,Q9NZV1,-2.20390597430684,0.000587497610823456,APOE2 / APOE3
S100A6,P06703,-2.08162864139309,0.000484436896376009,APOE2 / APOE3
SLC6A6,P31641,-2.06856512856747,0.000868016725855443,APOE2 / APOE3
COMT,P21964,-2.03040153481629,0.0190794221827817,APOE2 / APOE3
CLEC11A,Q9Y240,-2.01364388138062,0.000789101305207692,APOE2 / APOE3
DCBLD1,Q8N8Z6,-2.01161730333333,0.0154211272006602,APOE2 / APOE3
CLMP,Q9H6B4,1.99608688299082,0.0126713110818103,APOE2 / APOE3
COLEC12,Q5KU26,1.95781726626298,2.60597700230149e-11,APOE2 / APOE3
PBX1,P40424,1.95717208386017,0.000757565749654363,APOE2 / APOE3
HMGCR,P04035,1.93890668795284,0.0212294762336039,APOE2 / APOE3
SH3D19,Q5HYK7,-1.93226579313919,0.0103445981916855,APOE2 / APOE3
TNC,P24821,1.91201262493368,1.71062432039196e-40,APOE2 / APOE3
PDE5A,O76074,1.86141210425479,8.17319550814649e-05,APOE2 / APOE3
CDKN1A,P38936,-1.77933709784977,0.0142472865015455,APOE2 / APOE3
PLPP3,O14495,1.77767531660992,1.30137098667264e-05,APOE2 / APOE3
MID1,O15344,-1.77040386361376,0.00125055100946578,APOE2 / APOE3
CRABP2,P29373,1.68524731330349,6.48372373538651e-06,APOE2 / APOE3
MAOA,P21397,-1.67858316999091,0.00222802278103443,APOE2 / APOE3
H1-5,P16401,1.65349644673983,0.0133159170007439,APOE2 / APOE3
NDUFAF2,Q8N183,1.64691965935021,1.19608230043171e-05,APOE2 / APOE3
LXN,Q9BS40,1.64637623526718,1.35099842142591e-05,APOE2 / APOE3
CRMP1,Q14194,1.6460101886954,2.29744201672947e-11,APOE2 / APOE3
EMILIN1,Q9Y6C2,1.62611688692222,6.37258534432497e-11,APOE2 / APOE3
HAPLN1,P10915,-1.59963420748092,0.0486122376606004,APOE2 / APOE3
CFI,P05156,1.59477110895179,3.28514250941009e-05,APOE2 / APOE3
THBS1,P07996,-1.58735837354635,3.07757497122829e-31,APOE2 / APOE3
DNAJB4,Q9UDY4,-1.57380079234337,0.000207799609129381,APOE2 / APOE3
PDE1C,Q14123,-1.54688116809842,0.000149152215813244,APOE2 / APOE3
NCEH1,Q6PIU2,-1.54340678376491,0.010167060728507,APOE2 / APOE3
GPC6,Q9Y625,1.52943013338832,0.0106274159447299,APOE2 / APOE3
DCHS1,Q96JQ0,1.50713549578574,0.000793145551358389,APOE2 / APOE3
NID1,P14543,1.50620398551592,0.00369254372149287,APOE2 / APOE3
PTGIS,Q16647,1.49712447162767,5.11469280551309e-07,APOE2 / APOE3
VCAN,P13611,1.48305671203306,1.67656348236181e-23,APOE2 / APOE3
SERPINB2,P05120,-1.40823704435147,6.09110111762081e-05,APOE2 / APOE3
EDIL3,O43854,-1.38088618857539,3.69518101115191e-16,APOE2 / APOE3
NMT2,O60551,-1.37898664094648,0.0487686989666288,APOE2 / APOE3
NUDT19,A8MXV4,-1.37202355092713,0.0310373036333799,APOE2 / APOE3
PALM,O75781,1.35565225873354,0.00013638856538697,APOE2 / APOE3
TNIK,Q9UKE5,-1.34284996803139,0.0203232427946576,APOE2 / APOE3
IGFBP5,P24593,1.32101929245885,0.0259736682270351,APOE2 / APOE3
LOX,P28300,-1.32053700635273,8.03323222832327e-06,APOE2 / APOE3
EPHA4,P54764,1.31063679410653,0.000793145551358389,APOE2 / APOE3
ERMP1,Q7Z2K6,1.30062127515228,1.0691958642574e-11,APOE2 / APOE3
CCND1,P24385,-1.28738628922796,0.0494639774585007,APOE2 / APOE3
PLAT,P00750,1.28632075270824,1.35575635288048e-07,APOE2 / APOE3
NEFL,P07196,1.28284515584454,9.29657904461436e-17,APOE2 / APOE3
CPA4,Q9UI42,-1.27757721857113,3.8865674398834e-05,APOE2 / APOE3
PHLDB1,Q86UU1,1.26867326526021,3.13086232422603e-06,APOE2 / APOE3
SMTN,P53814,-1.24634929991016,2.60876835414091e-06,APOE2 / APOE3
LTBP1,Q14766,1.22758608209672,5.81718680145245e-07,APOE2 / APOE3
LYPLAL1,Q5VWZ2,-1.22270708072433,0.00670845882098151,APOE2 / APOE3
PAPSS2,O95340,-1.21913221492549,7.08280466201142e-12,APOE2 / APOE3
KIF2C,Q99661,-1.17961393920596,0.00594036131096842,APOE2 / APOE3
PRRX1,P54821,1.17905534686539,0.0139413190269366,APOE2 / APOE3
TACC3,Q9Y6A5,-1.15456460802578,0.00975019788789079,APOE2 / APOE3
SMURF2,Q9HAU4,-1.1402893068633,0.00277569064444609,APOE2 / APOE3
MCAM,P43121,-1.13642502735976,0.000709329235561719,APOE2 / APOE3
OXR1,Q8N573,1.13581612993761,9.68437975498254e-07,APOE2 / APOE3
MOXD1,Q6UVY6,1.12832314799381,0.000183338654190242,APOE2 / APOE3
SERPINE2,P07093,1.09914407735012,0.0442559907091953,APOE2 / APOE3
