type,cell_type,feature,coefficient
tAge,Th2,(Intercept),31.91935275
tAge,Th2,AAGAB,0.253516632
tAge,Th2,ABCD2,1.65972083
tAge,Th2,ABHD15,-0.150301652
tAge,Th2,ACBD7,7.557813811
tAge,Th2,ACTR3,0.418775474
tAge,Th2,ACTR6,0.164996159
tAge,Th2,ADAM12,-0.730331954
tAge,Th2,ADAM17,0.451575231
tAge,Th2,ADAM23,1.398267646
tAge,Th2,ADNP2,0.586930102
tAge,Th2,AGAP4,-1.188689733
tAge,Th2,AIDA,0.137150536
tAge,Th2,AIFM2,-1.320747057
tAge,Th2,AKAP12,0.18483361
tAge,Th2,ALK,2.428888366
tAge,Th2,AMPD3,-1.239590278
tAge,Th2,ANKH,-0.07666349
tAge,Th2,ANKRD28,-0.415746629
tAge,Th2,ANKRD36C,0.004214126
tAge,Th2,ANO6,-0.247298634
tAge,Th2,ANXA2R,-0.707174425
tAge,Th2,APLP2,-0.250757054
tAge,Th2,APOA1,13.82569267
tAge,Th2,ARAP1-AS1,6.270219681
tAge,Th2,ARL5A,-0.96561804
tAge,Th2,ARRDC1-AS1,-2.43497746
tAge,Th2,ARSG,0.41734136
tAge,Th2,ASAP1,-0.013459684
tAge,Th2,ASCC3,0.095262155
tAge,Th2,ASPH,-1.314432573
tAge,Th2,ASS1,47.79730422
tAge,Th2,ATF1,0.454161451
tAge,Th2,ATG4D,3.752489806
tAge,Th2,ATP6V0A2,0.838216929
tAge,Th2,ATP6V0D1,1.36540512
tAge,Th2,ATP6V1B2,0.336538872
tAge,Th2,ATP6V1H,0.80444298
tAge,Th2,ATXN2-AS,7.955634143
tAge,Th2,ATXN7L3B,-0.475024672
tAge,Th2,AUTS2,-1.708453678
tAge,Th2,BAALC-AS1,1.756671015
tAge,Th2,BACH1-IT2,-1.01168815
tAge,Th2,BBS1,0.835210187
tAge,Th2,BCAR4,30.95411299
tAge,Th2,BCL2,0.297902587
tAge,Th2,BFSP2,2.542504668
tAge,Th2,BHLHA15,53.6838966
tAge,Th2,BMPR2,-0.857794534
tAge,Th2,BRD8,-0.63078503
tAge,Th2,BTBD9,-0.760841897
tAge,Th2,C18orf21,-1.021797825
tAge,Th2,C21orf91-OT1,0.049156744
tAge,Th2,C5orf63,-2.637214976
tAge,Th2,CAB39L,2.665596154
tAge,Th2,CABLES1,69.35636361
tAge,Th2,CAMSAP2,-0.82000005
tAge,Th2,CARMIL3,49.44816247
tAge,Th2,CATSPERE,0.016392698
