compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Ethanol,Drosophila mojavensis,A300,4%,,,81.29,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A300,2%,,,50.66,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A300,4%,,,71.03,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A300,2%,,,123.26,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,4%,,,20.88,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,2%,,,83.67,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,4%,,,57.39,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A512d,2%,,,80.71,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,4%,,,37.39,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,2%,,,62.6,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,4%,,,119.56,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A361,2%,,,145.62,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,4%,,,70.77,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,2%,,,92.26,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,4%,,,124.24,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A514,2%,,,94.33,NA,,NA,Female,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,4%,,,42.69,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,2%,,,70.77,NA,,NA,Male,,NA,No,13369
Ethanol,Drosophila mojavensis,A316b,4%,,,52.04,NA,,NA,Female,,NA,No,13369
