Species,order,CMR_F,CMR_M,ICM_F,ICM_M
Acinonyx_jubatus,Carnivora,0.038095238095238,0.033333333333333,0.030140482705758,0.048122533614164
Ailurus_fulgens,Carnivora,0.085106382978723,0.058823529411765,0.115641294516994,0.044527582354438
Aonyx_cinerea,Carnivora,0.082352941176471,0.040540540540541,0.146707607870522,0.015495566399441
Arctictis_binturong,Carnivora,0.142857142857143,0.153846153846154,0.064763855019217,0.188874398273705
Canis_rufus,Carnivora,0.117647058823529,0.428571428571429,0.188612358426988,0.413089699817355
Chrysocyon_brachyurus,Carnivora,0.116279069767442,0.148148148148148,0.105937017275572,0.168467497486665
Cuon_alpinus,Carnivora,0.227272727272727,0.076923076923077,0.292105575067416,0.050741713187661
Cynictis_penicillata,Carnivora,0.111111111111111,0.076923076923077,,
Felis_margarita,Carnivora,0.157894736842105,0.071428571428571,0.187704888342332,0.051641813395133
Felis_silvestris,Carnivora,0.058823529411765,0,0.077719906785288,0
Helogale_parvula,Carnivora,0,0,0,0
Leopardus_pardalis,Carnivora,0.166666666666667,0.230769230769231,0.142720241327147,0.151842048274339
Leptailurus_serval,Carnivora,0.157894736842105,0.0625,0.248516359644161,0.066524322893983
Lutra_lutra,Carnivora,0,0,0,0
Lycaon_pictus,Carnivora,0.148148148148148,0.132352941176471,0.16077065033301,0.14092727900526
Lynx_lynx,Carnivora,0.071428571428571,0.1,0.012206675426224,0.074790326452993
Mungos_mungo,Carnivora,0.083333333333333,0.05,0.04508370042648,0.007452797656937
Mustela_lutreola,Carnivora,0,0.3,,
Mustela_nigripes,Carnivora,0.125,0.103448275862069,0.061216575060824,0.105407818522197
Nasua_nasua,Carnivora,0.041666666666667,0.036363636363636,0.095864740295997,
Otocolobus_manul,Carnivora,0.111111111111111,0.058823529411765,,
Otocyon_megalotis,Carnivora,0.25,0.272727272727273,0.149831499384768,
Panthera_leo,Carnivora,0.127118644067797,0.127906976744186,0.128273531833247,0.10590449334248
Panthera_onca,Carnivora,0.32,0.125,0.265031643058698,0.142135704107524
Panthera_pardus,Carnivora,0.037735849056604,0.063829787234043,0.036175671894501,0.058125753585033
Panthera_tigris,Carnivora,0.109090909090909,0.162790697674419,0.101103662219128,0.17550106548286
Panthera_uncia,Carnivora,0.12,0.073170731707317,,
Prionailurus_bengalensis,Carnivora,0.071428571428571,0,0.028921445184648,0
Prionailurus_viverrinus,Carnivora,0,0.1,0,0.189715910528599
Procyon_lotor,Carnivora,0.1,0.363636363636364,0.153486548915717,0.153276705121042
Puma_concolor,Carnivora,0.176470588235294,0.058823529411765,0.144802304138718,0.076955016968951
Speothos_venaticus,Carnivora,0,0.047619047619048,0,0.030520564792587
Suricata_suricatta,Carnivora,0.075675675675676,0.090909090909091,0.117062546491767,0.137900785349238
Ursus_arctos,Carnivora,0.083333333333333,0.125,0.057204201076328,0.080590046175359
Vulpes_zerda,Carnivora,0.157894736842105,0.130434782608696,0.130114086680051,0.156785316500963
Zalophus_californianus,Carnivora,0.090909090909091,0.08695652173913,0.229248986811633,0.058767114127158
