species,mean_substitutions_per_year,lifespan_80_years
Black-and-white colobus,80.3605308,24.35044
Cat,287.3452783,18.71869
Cow,207.3421958,20.1013
Dog,249.4649401,15.26078
Ferret,496.39948,7.849418
Giraffe,99.11235522,24.12868
Horse,128.333268,31.53457
Human,47.12454073,83.66666667
Lion,159.8665767,20.64339
Mouse,796.4238503,3.682409
Naked mole-rat,92.56530934,25.34702
Rabbit,216.9992718,9.13347
Rat,665.0476827,2.748802
Ring-tailed lemur,103.5027907,27.97262
Tiger,212.00099,19.38125
