gene,tissue_context,avg_log2fc,p_val_adj
Cdkn1a,skin_p21plus_old,3.21444219402422,0
Krt77,skin_p21plus_old,1.84908577660014,1.27468831703313e-70
Krt10,skin_p21plus_old,1.55769539498636,4.41735535462364e-59
Krtdap,skin_p21plus_old,1.55747890088329,1.67358668181525e-59
Sbsn,skin_p21plus_old,1.54652334088651,3.98050047585157e-54
Fam25c,skin_p21plus_old,1.4260663662396,1.05510599245058e-78
Dmkn,skin_p21plus_old,1.34059858586111,2.63787135014458e-65
Lor,skin_p21plus_old,1.30453651352429,1.68853644123027e-28
Lgals7,skin_p21plus_old,1.29692828653052,6.49538950342184e-67
Krt1,skin_p21plus_old,1.28484659744276,2.08892957838805e-58
Calm4,skin_p21plus_old,1.26530421285575,4.38240226961937e-72
Sfn,skin_p21plus_old,1.23280472361606,2.55547478696255e-80
Ly6g6c,skin_p21plus_old,1.1382540634433,8.17096537425768e-89
Crct1,skin_p21plus_old,1.07077645240879,6.31165258843642e-29
Hspb1,skin_p21plus_old,1.0531097947004,5.48625036966679e-60
Asprv1,skin_p21plus_old,1.00868582704422,2.5500342330497e-34
Hal,skin_p21plus_old,1.00854184848609,3.14962166518947e-53
Ly6d,skin_p21plus_old,1.00042907206114,2.28465389414524e-57
Postn,skin_p21plus_old,-1.00330194603812,0.00271302583452881
Cd36,skin_p21plus_old,-1.00341845902507,0.00201152368346901
Tns1,skin_p21plus_old,-1.00677482221224,0.00194433215553355
Klhl29,skin_p21plus_old,-1.02284072628687,8.58970576383338e-05
Gm26740,skin_p21plus_old,-1.02592816178843,0.00720510038393806
Mlip,skin_p21plus_old,-1.05151663473918,0.0336673755726449
Bnc2,skin_p21plus_old,-1.06136391179938,0.000322720515787428
Gpc6,skin_p21plus_old,-1.06502652442952,0.000403858153084083
Kcnma1,skin_p21plus_old,-1.08769430223248,0.000721047504540132
Atp2a1,skin_p21plus_old,-1.11465831849829,0.0169772407349512
Zeb2,skin_p21plus_old,-1.11484945255448,0.000140373999047308
Eepd1,skin_p21plus_old,-1.12332264805294,0.00289883050178771
Pdzrn3,skin_p21plus_old,-1.12354794169723,3.3588901658875e-09
Tnnt3,skin_p21plus_old,-1.13607628490021,0.00574034683961684
Cped1,skin_p21plus_old,-1.1428824226601,3.52283545154185e-05
Prkg1,skin_p21plus_old,-1.15705081890803,0.00707774154686739
Fgf13,skin_p21plus_old,-1.27147446154512,0.000686213664509332
Sgcd,skin_p21plus_old,-1.32300672291967,8.66751793394609e-11
Atp1a2,skin_p21plus_old,-1.40273979275355,1.50685387009103e-06
Mybpc1,skin_p21plus_old,-1.44173638842012,0.00282016370533251
Ebf1,skin_p21plus_old,-1.50037302068219,2.46085855792189e-05
Mylk4,skin_p21plus_old,-1.67436619690169,0.00105296544434058
Pde4dip,skin_p21plus_old,-1.70497516513023,0.000129811260334191
Agbl1,skin_p21plus_old,-1.70605829096167,0.0197591324034602
Cidec,skin_p21plus_old,-1.83712213860655,0.0335077107450972
Trdn,skin_p21plus_old,-1.8718675636966,0.00136910418396324
Neb,skin_p21plus_old,-1.92738089808893,0.00130051818142113
Dmd,skin_p21plus_old,-2.61875188256374,6.9304826487385e-12
Ttn,skin_p21plus_old,-3.80758503166755,1.37549439627822e-06
,skin_p21plus_old,,
,skin_p21plus_old,,
,skin_p21plus_old,,
,skin_p21plus_old,,
Cdkn1a,lung_p21plus_old,2.35387337075354,0
Rgs6,lung_p21plus_old,2.13236354896399,2.20230399439763e-80
Prickle2,lung_p21plus_old,2.00763397889809,2.92459520283467e-39
Tmeff2,lung_p21plus_old,1.71766189585956,8.46572409033597e-131
Piezo2,lung_p21plus_old,1.46246630885377,7.84047691283463e-60
Lmntd1,lung_p21plus_old,1.4539931157949,1.34315950323794e-109
Igfbp5,lung_p21plus_old,1.43070330227912,7.36450945626416e-15
Edil3,lung_p21plus_old,1.42686757790101,2.12013760062021e-106
Gm30382,lung_p21plus_old,1.36642239988343,2.17486706442261e-45
Kitl,lung_p21plus_old,1.33168636714879,1.01593345511363e-22
Htr2c,lung_p21plus_old,1.32333746774287,3.24461367743123e-49
Igfbp7,lung_p21plus_old,1.30894536642221,1.12788796816052e-29
Dach1,lung_p21plus_old,1.29027460025042,5.56510597911678e-27
Aff3,lung_p21plus_old,1.2832133948604,1.24445292777689e-22
Kalrn,lung_p21plus_old,1.24444698122636,5.62501759708249e-22
Nxph1,lung_p21plus_old,1.23900637208633,4.93666185459186e-38
Chil3,lung_p21plus_old,1.20963396435068,4.57768997939084e-32
Car4,lung_p21plus_old,1.18961905221805,1.08678047623832e-118
Gpm6a,lung_p21plus_old,1.16619574510939,0.00173015242302212
Mertk,lung_p21plus_old,1.1527822574428,1.67702343348492e-87
Atp6v0d2,lung_p21plus_old,1.14793824679154,5.68346062588241e-51
Prx,lung_p21plus_old,1.14328014427482,1.33204809878042e-72
Tbx3,lung_p21plus_old,1.13151916230884,2.67018726832873e-76
Tbx3os1,lung_p21plus_old,1.12315936996487,1.47304762500158e-63
Mrc1,lung_p21plus_old,1.11924869547934,1.58631541134609e-43
Sema6a,lung_p21plus_old,1.1181999385429,1.17075094687234e-54
Dab2,lung_p21plus_old,1.10412122734967,5.10148317725169e-71
Sulf1,lung_p21plus_old,1.09134071322343,9.74225278708819e-12
Adgrl2,lung_p21plus_old,1.08935704909432,8.07190206618924e-47
Abcg1,lung_p21plus_old,1.077064079899,2.81485876288362e-41
Sema5a,lung_p21plus_old,1.04970285328439,6.34955740919675e-21
Arhgef3,lung_p21plus_old,1.04824886453215,2.20554076492604e-31
C4b,lung_p21plus_old,1.03683929089425,3.06240245388526e-11
C530008M17Rik,lung_p21plus_old,1.02413675986005,6.80625294058706e-48
4930554G24Rik,lung_p21plus_old,1.02170448237671,3.96543775602968e-58
Creb5,lung_p21plus_old,1.01140389305661,2.49696086910223e-97
Serpine1,lung_p21plus_old,1.01061272565675,1.28379118452311e-80
Fmnl2,lung_p21plus_old,1.00808036795048,1.87182803321022e-24
Ces1d,lung_p21plus_old,-1.021643283921,2.87633751882049e-29
Fign,lung_p21plus_old,-1.02260288429882,1.21907214407376e-18
Alas1,lung_p21plus_old,-1.03753186158779,2.97111417907378e-07
Tmem163,lung_p21plus_old,-1.03872479339045,1.9809190504948e-13
Galnt13,lung_p21plus_old,-1.04072420756155,3.84451600046897e-20
Dapk2,lung_p21plus_old,-1.04334331581972,1.11052672237676e-39
