probe,symbol,pan1,pan2,blood,skin,liver,kidney,loglin,relative
(Intercept),,57.33280355,58.38393618,35.60282572,-5.883971029,-3.993484572,36.81724454,16.43627425,2.692594853
cg04084157,VGF,12.1539282,,1.08746735,0.809870624,4.877616998,12.77751479,4.923004967,0.638316965
cg12841266,LHFPL4,4.882694562,,13.01234271,5.066541762,3.194727521,9.328539024,1.988255238,0.260542878
cg24866418,LHFPL4,1.242194401,,5.102945496,1.487274321,2.709023497,9.418529879,0.717275129,0.08447646
cg21623348,BARHL2,12.56103399,,,,5.669699593,9.160351493,1.120582833,0.345547022
cg21452781,DBX1,7.254124042,,1.619035972,1.243346379,,26.50766262,0.041993823,0.053707234
cg06655030,SRRM2,-56.83044185,,,,,-16.33053047,-6.565949018,-1.489652701
cg02495519,LYRM1,-8.480970765,,,,,,-0.402244942,-0.165669485
cg23415880,PDX1,13.18487361,,,6.749270443,4.134140193,,0.000399641,0.022203157
cg27556193,OTX1,2.277879545,,,,0.503617452,,2.586052596,0.387355226
cg07795407,MEIS2,,,7.611808724,,3.13513901,,1.46713737,0.202479593
cg19945840,B3GALT6,,,5.576553021,,4.317257301,,0.644921397,0.110033291
cg15055738,SOCS3,13.93641461,,,,,,0.078525235,0.001651362
cg20093263,ZEB2,-1.196329623,,,,,,-0.049904309,-0.002813306
cg22793142,CD34,-1.099177802,,,,,,-0.354809373,-0.038179112
cg02787772,DPYSL2,,,,1.782100199,,,0.480901494,0.195879985
cg05933419,PDX1,,,,,9.267891678,,0.301208634,0.063874547
cg13848598,ADRB1,,,,0.786624721,,,0.236733067,0.001764804
cg08402704,BARHL2,6.94863731,,1.80381768,3.726355315,1.632313637,6.949549473,,0.030720945
cg21841644,NRSN2,0.149356088,,,,,,,0.036764223
cg02783173,gene:ENSHGLG00100000269,1.50531865,,,,2.27077109,4.266105705,,0.045735441
cg21389633,F12,,,-0.257094632,,,,,-0.01543865
cg05897263,IGF2BP3,,,6.237038425,,,,,0.008955482
cg26067250,DLX1,,,,,7.404563845,,,0.111893447
cg07422543,ZC3H3,,,,,,,0.279347448,0.03101126
cg00038955,OSR2,,,,,,,0.313678875,0.033476016
cg00109797,SLC25A4,,,,,,,-0.625643678,-0.104884341
cg00531009,PYGM,,,,,,,-0.038856024,-0.006363477
cg00737936,DLG3,,,,,,,0.344748535,0.002419885
cg00766718,ONECUT2,,,,,,,0.001726771,0.021519779
cg00783833,FLOT2,,,,,,,0.244381807,0.063503994
cg00787665,ZNF507,,,,,,,0.075621318,0.009862647
cg00877739,GRIN2B,,,,,,,0.458254131,0.103910398
cg00957471,IPO9,,,,,,,0.85875075,0.146194529
cg00958552,SNX31,,,,,,,0.13232905,0.00853268
cg01193554,FOXO6,,,,,,,-0.321743939,-0.017251322
cg01245471,HOXA11,,,,,,,-0.388788162,-0.020337522
cg01351663,NKX2-8,,,,,,,0.292300823,0.036743058
cg01418317,PCDH7,,,,,,,-0.33778311,-0.025941101
cg01461078,DMRTA2,,,,,,,0.001307748,0.000823451
cg01538162,PYGM,,,,,,,-0.433186476,-0.052224425
cg01566077,METTL3,,,,,,,0.150503495,0.019344435
cg01650941,LBX1,,,,,,,-0.572308263,-0.053378211
cg01655814,MAPRE3,,,,,,,-0.006218943,-3.01e-05
cg01901338,OTP,,,,,,,-1.039444472,-0.15066933
cg01939401,NPTN,,,,,,,0.327839322,0.028579432
cg02106637,C6orf62,,,,,,,-0.052555569,-0.016814905
cg02212975,ACTN4,,,,,,,-0.397595566,-0.041701871
cg02321644,DNAJC24,,,,,,,0.156076996,0.021997764
cg02385429,HOXC4,,,,,,,-0.090181781,-0.015775961
cg09637123,IGF1R,,,,,,,-0.024128868,-0.020630466
cg02897704,PKNOX1,,,,,,,-0.377943985,-0.027391874
cg03120509,DERA,,,,,,,0.052727152,0.001280582
cg03180785,DGKH,,,,,,,0.2509759,0.021182681
cg03214473,CDH24,,,,,,,-0.405992475,-0.082498014
cg03249538,FXR1,,,,,,,0.119288518,0.01643191
cg03389662,KDM2A,,,,,,,-0.341534611,-0.074102968
cg03444965,RBM5,,,,,,,-0.25874664,-0.056884203
cg03521797,PHC2,,,,,,,-0.022276416,-0.002479893
cg03533765,ACVR2A,,,,,,,0.241820841,0.031100196
cg03659513,HAND2,,,,,,,0.044730512,0.005433802
cg03684591,ING1,,,,,,,0.230121694,0.063685643
cg10639365,TANC2,,,,,,,1.613741753,0.12361889
cg04257609,DIAPH3,,,,,,,-0.651434091,-0.144291235
cg04267424,PBX1,,,,,,,0.629638258,0.083530661
cg04295410,SLC35B3,,,,,,,-0.155551403,-0.004963029
cg04327611,ITGA1,,,,,,,0.120572603,0.014682202
cg04483487,ADAMTS6,,,,,,,-1.020805415,-0.103778106
cg04539724,NPFF,,,,,,,-0.179038538,-0.022633132
cg04858895,BCL2L2-PABPN1,,,,,,,-0.087501467,-0.02257786
cg04931708,FEZF1,,,,,,,2.562197317,0.283292629
cg04975338,CCDC191,,,,,,,-0.044409424,-0.01517702
cg05066539,ACHE,,,,,,,0.748449642,0.066466208
cg05118387,NTN1,,,,,,,0.172951001,0.020431149
cg05134912,ONECUT2,,,,,,,-0.09165989,-0.012996636
cg05147550,MEF2C,,,,,,,0.123490737,0.018110439
cg05163758,SREBF1,,,,,,,0.169740366,0.03254526
cg05337739,KLF7,,,,,,,-1.855932222,-0.199697211
cg05362516,IRX6,,,,,,,-0.437167973,-0.052350061
cg05390212,AREG,,,,,,,0.135104187,0.004437619
cg05470773,PKN2,,,,,,,0.917272462,0.123613381
cg05570491,GUCA2B,,,,,,,-0.221833339,-0.049106779
cg05632694,MTOR,,,,,,,-0.670663168,-0.099742736
cg05730460,SMARCA2,,,,,,,-0.060953966,-0.00349413
cg05759182,SFSWAP,,,,,,,0.514288797,0.099270499
cg05892496,HECTD1,,,,,,,-0.370707634,-0.031637996
cg12875966,DMRTA2,,,,,,,-0.582018153,-0.084406195
cg05943335,SLC2A12,,,,,,,-0.128927403,-0.167300033
cg05970544,C2CD5,,,,,,,0.484449559,0.067316951
cg06177598,SATB2,,,,,,,0.301057027,0.045669892
cg06185738,SLC17A6,,,,,,,-0.548157786,-0.077741523
cg06190403,UBAP2L,,,,,,,-0.128177821,-0.010952172
cg06310715,MAP2K6,,,,,,,-1.190897197,-0.336935788
cg06332339,NPTN,,,,,,,-2.854110068,-0.321564437
cg06571003,PAX2,,,,,,,-0.007654684,-0.036373629
cg13518541,TMEM161B,,,,,,,-0.258479531,-0.002858687
cg06759629,SEPSECS,,,,,,,-0.054224234,-0.002158379
cg06773790,NR2F2,,,,,,,-1.731589287,-0.253120409
cg06878766,PLAG1,,,,,,,0.52232461,0.002820812
cg06960698,FGF14,,,,,,,-0.344736101,-0.072614081
cg06983110,INSR,,,,,,,0.299893418,0.064942844
cg07228206,ZNF638,,,,,,,0.11037707,0.023881314
cg07359023,ARID4B,,,,,,,-0.575712357,-0.086727178
cg07373156,HOXB8,,,,,,,0.075896357,0.008450634
cg07421911,ZNF462,,,,,,,-0.005359455,-0.00699507
cg14104528,ZNF451,,,,,,,-0.656398084,-0.07978079
cg07425439,MDGA1,,,,,,,-0.011161812,-0.000693891
cg07440346,YPEL3,,,,,,,-0.322243934,-0.013069081
cg07480114,UMPS,,,,,,,-1.059309715,-0.092847109
cg07566172,KLF7,,,,,,,-1.179777409,-0.151927438
cg07607355,ID1,,,,,,,0.146675789,0.011920147
cg07718342,BCL11A,,,,,,,-0.886208101,-0.167196916
cg07747635,HES1,,,,,,,0.74982366,0.131711096
cg07769222,SLC25A4,,,,,,,-1.033102486,-0.176493644
cg14475241,POU4F1,,,,,,,0.026503444,0.001881802
cg07803121,ADGRB2,,,,,,,0.163003022,0.002962442
cg07863286,KLHL14,,,,,,,0.016078838,0.00196118
cg08013737,ACACA,,,,,,,-0.002732767,-0.011385708
cg08026135,CHD4,,,,,,,0.272143519,0.091202633
cg08088969,RFX3,,,,,,,-2.950570465,-0.470001032
cg08193095,LHX9,,,,,,,-0.057657091,-0.000442018
cg08357395,TRIM8,,,,,,,-0.132683299,-0.080411381
cg08437267,NOP56,,,,,,,-1.699304641,-0.170273663
cg08450113,SLIT1,,,,,,,-0.080002322,-0.009409794
cg08723249,SLC18A2,,,,,,,0.474379404,0.127014869
cg08868548,PEX14,,,,,,,-0.08465208,-0.009153061
cg08873209,NFYC,,,,,,,0.846635081,0.132172025
cg08912313,SH3GL2,,,,,,,0.261760802,0.010297351
cg08992395,DMRTA2,,,,,,,-0.625070689,-0.087514591
cg09164670,JADE1,,,,,,,0.266953905,0.110076736
cg09185718,FLNC,,,,,,,-0.010839508,-0.007002515
